"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"12/05/2017","AQS","360810124","1","16","ppb","15","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","16"
"12/06/2017","AQS","360810124","1","27.1","ppb","25","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","27.1"
"12/07/2017","AQS","360810124","1","34.1","ppb","32","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","34.1"
"12/08/2017","AQS","360810124","1","29.1","ppb","27","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","29.1"
"12/09/2017","AQS","360810124","1","25.7","ppb","24","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","25.7"
"12/10/2017","AQS","360810124","1","23","ppb","22","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","23"
"12/11/2017","AQS","360810124","1","36.4","ppb","34","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","36.4"
"12/12/2017","AQS","360810124","1","37.8","ppb","35","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","37.8"
"12/13/2017","AQS","360810124","1","17.3","ppb","16","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","17.3"
"12/14/2017","AQS","360810124","1","34.1","ppb","32","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","34.1"
"12/15/2017","AQS","360810124","1","49.3","ppb","46","QUEENS COLLEGE 2","22","92.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","49.3"
"12/16/2017","AQS","360810124","1","32.1","ppb","30","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","32.1"
"12/17/2017","AQS","360810124","1","37","ppb","35","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","37"
"12/18/2017","AQS","360810124","1","47.1","ppb","44","QUEENS COLLEGE 2","18","75.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","47.1"
"12/19/2017","AQS","360810124","1","37.9","ppb","35","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","37.9"
"12/20/2017","AQS","360810124","1","18.6","ppb","17","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","18.6"
"12/21/2017","AQS","360810124","1","34.4","ppb","32","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","34.4"
"12/22/2017","AQS","360810124","1","41.3","ppb","39","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","41.3"
"12/23/2017","AQS","360810124","1","36.5","ppb","34","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","36.5"
"12/24/2017","AQS","360810124","1","17.1","ppb","16","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","17.1"
"12/25/2017","AQS","360810124","1","19.7","ppb","18","QUEENS COLLEGE 2","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","19.7"
